Canadian filmmaker Jean-Marc Vallée dies aged 58,https://www.bbc.com/news/entertainment-arts-59800777,"The director's works included Dallas Buyers Club, Wild and the TV series Big Little Lies."
Brazilian town floods after two dams collapse,https://www.bbc.com/news/world-latin-america-59801025,People in the town of Itabuna can be seen using inflatable rafts and canoes to get from house to house.
Spider-Man: No Way Home tops $1bn at box office,https://www.bbc.com/news/business-59798609,It beat Chinese Korean War epic The Battle of Lake Changjin to be the highest grossing film of 2021.
A final hour which sealed the Ashes for Australia?,https://www.bbc.com/sport/cricket/59770503,Did England's dismal performance in the final hour on day two of the third Ashes Test in Melbourne seal the Ashes for Australia?
Martial tells United he wants to leave,https://www.bbc.com/sport/football/59796266,French striker Anthony Martial tells Manchester United that he wants to leave the club.
Tuchel criticises 'not fair' schedule,https://www.bbc.com/sport/football/59797781,"Chelsea boss Thomas Tuchel criticises the Premier League's festive schedule and says his side ""are struggling"" after sustaining further injuries."
The social distancing manual from 1588,https://www.bbc.com/future/article/20210107-the-432-year-old-manual-on-social-distancing,"In this spookily prescient booklet, people are advised to keep six feet apart"
The rise of extreme job interviews,https://www.bbc.com/worklife/article/20210727-the-rise-of-never-ending-job-interviews,Seven? Eight? Nine? How many interviews is too many for a job?
Norway's soaring mountain staircases,https://www.bbc.com/travel/article/20211121-norways-soaring-mountain-staircases,Nepalese Sherpas come to Norway to construct these unparalleled mountain steps
